"command","description","args","screenshot"
"8ball","yes","question","https://shsrv.nikolan.xyz/botss/8ball.PNG"
"95cdkey","Generates a Windows 95 CD Key","none","https://shsrv.nikolan.xyz/botss/95cdd.PNG"
"about","Shows info about the bot","none","https://shsrv.nikolan.xyz/botss/about.PNG"
"ai","Generates text using AI","prompt","https://shsrv.nikolan.xyz/botss/ai.PNG"
"amd-cpu","Sends a random AMD CPU","none","https://shsrv.nikolan.xyz/botss/amdcpu.PNG"
"amd-gpu","Sends a random AMD GPU","none","https://shsrv.nikolan.xyz/botss/gpu.PNG"
"avatar","Gets a user's avatar","user","https://shsrv.nikolan.xyz/botss/avatar.PNG"
"calc","Maths","expression","https://shsrv.nikolan.xyz/botss/calc.PNG"
"credits","Shows the bot's credits","none","https://shsrv.nikolan.xyz/botss/credits.PNG"
"dbg","Command for developers only, please ignore","none","https://shsrv.nikolan.xyz/botss/dbg.png"
"debug_info","Shows info about the bot","none","https://shsrv.nikolan.xyz/botss/debug.PNG"
"doggo","Sends a random dog picture","none","https://shsrv.nikolan.xyz/botss/dogy.PNG"
"dogfact","Sends a random dog fact","none","https://shsrv.nikolan.xyz/botss/dogyfascty.PNG"
"gimsa","Searches Bing for images","prompt","https://shsrv.nikolan.xyz/botss/gimsay.PNG"
"intel-cpu","Sends a random Intel CPU","none","https://shsrv.nikolan.xyz/botss/intely.PNG"
"members","Shows the server's member count","none","https://shsrv.nikolan.xyz/botss/members.PNG"
"nvidia-gpu","Sends a random Nvidia GPU","none","https://shsrv.nikolan.xyz/botss/nvidety.PNG"
"ping","Shows the bot latency","none","https://shsrv.nikolan.xyz/botss/ping.PNG"
"pipeyhit","Hits someone with metal pipey","victim, ping(optional)","https://shsrv.nikolan.xyz/botss/pipeyhit.PNG"
"randomgame","Sends a random Steam game","none","https://shsrv.nikolan.xyz/botss/randomgame.png"
"steamsearch","Searches for games on Steam","query","https://shsrv.nikolan.xyz/botss/steamsearch.png"
"steamgame","Searches for a game on Steam","name","https://shsrv.nikolan.xyz/botss/steamgame.png"
"scramble","Scrambles text","text","https://shsrv.nikolan.xyz/botss/scramble.png"
"sleep","Tells others you're going to sleep","none","https://shsrv.nikolan.xyz/botss/eepy.png"
"top-gg","Sends a link to the bot's Top.gg page","none",""
"winkey","Returns a Generic Windows key","version","https://shsrv.nikolan.xyz/botss/winkey.png"
"randoc","Generates a random color","none","https://shsrv.nikolan.xyz/botss/randoc.png"
"bugreport","Report a bug to the bot's developers","bug",""
"suggest","Suggest a feature to the bot's developers","suggestion",""
"about","Shows fun info and development history about the bot","none",""
